Name;Schl;Descriptor;Level;Casting Time;Range;Effect Type;Effect;Duration;Saving Throw;Short Description
Disguise Self;Illu;;1;1 standard action;Personal;Target;You;10 min./level (D);;Changes your appearance.
Disguise Ship;Illu;;4;1 standard action;Touch;Target;One ship;1 hour/level (D);Will disbelief (if interacted with);Disguises a ship.
Disguise Undead;Illu;;2;1 standard action;Touch;Target;1 corporeal undead;1 day;None (harmless);Change appearance of one corporeal undead.
Disintegrate;Tran;;6;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Ray;Instantaneous;Fortitude partial (object);Makes one creature or object vanish.
Dispel Shield;Abj;;3;1 standard action;Personal;Target;You;1 hour/level (D);;This spell protects you from dispel magic attemps by being dispelled first.
Dispel Ward;Abj;;1;1 standard action;Medium (100 ft. + 10 ft./level);Target;One warded object or area;Instantaneous;None;As dispel magic, but affects only wards.
Dispel Water;Abj;;5;1 standard action;Medium (100 ft. + 10 ft./level);Target or Area;See text;Instantaneous;See text;Cancels water spells and effects or dismisses water creatures.
Dispelling Breath;Abj;;5;1 swift action;Personal;Target;Your breath weapon;1 round;;Your breath weapon acts as a targeted dispel magic to all creatures in its area.
Dispelling Screen;Abj;;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Energy wall whose area is up to one 10-ft. square/level, or a sphere or hemisphere with a radius of up to 1 ft./level;1 min./level (D);None;Create an opaque screen that targets passing objects with dispel magic.
Dispelling Touch;Abj;;2;1 standard action;Touch;Target;One touched creature, object, or spell effect;Instantaneous;None;Dispel one magical effect on touched subject.
Displacement;Illu;;3;1 standard action;Touch;Target;Creature touched;1 round/level (D);Will negates (harmless);Attacks miss subject 50%.
Displacer Form;Tran;;4;1 standard action;Personal;Target;You;1 round/level (D);;You change into displacer beast, gain some abilities.
Disrupt Undead;Necr;Positive;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;Instantaneous;None;Deals 1d6 damage to one undead.
Dissonant Chant;Abj;Sonic;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;100-foot radius emanation;1 round/level;None (see text);Distracting chant which makes Concentration checks in the area more difficult.
Distilled Joy;Tran;;3;1 day;Touch;Target;One living creature;Permanent;Fortitude negates (harmless);Creates ambrosia.
Distort Summons;Tran;Evil;4;1 standard action;Medium (100 ft. + 10 ft./level);Area;50-ft-radius spread;1 hour/level;None;Creates area where only evil creatures can be summoned.
Distract;Ench;Mind-Affecting;1;1 standard action;Medium (100 ft. + 10 ft./level);Targets;One creature/level, no two of which can be more than 30 ft. apart.;1 round/level;Will negates;Distracts targets with the zest for life.
Distract Assailant;Ench;Mind-Affecting;1;1 swift action;Close (25 ft. + 5 ft./2 levels);Target;One creature;1 round;Will negates;Swift. One creature is flat-footed for 1 round.
Distracting Ray;Abj;;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;Instantaneous;None;Distracts target spellcaster as counterspell.
Distracting Shadows;Evoc;Darkness;1;1 standard action;Touch;Target;Object touched;1 day;None;-5 penalty on Spot and Search checks in a 10-ft.-radius spread.
Dolor;Evoc;Evil;5;3 rounds;Personal;Target;You;1 day;;Cause a creature trapped in a planar binding pain, compelling it to agree to some service.
Dolorous Blow;Tran;;3;1 standard action;Touch;Target;Weapon touched;1 min./level;None;Weapon's threat range is doubled and threats are automatically confirmed.
Dominate Monster;Ench;Mind-Affecting;9;1 round;Close (25 ft. + 5 ft./2 levels);Target;One creature;1 day/level;Will negates;As dominate person, but any creature.
Dominate Person;Ench;Mind-Affecting;5;1 round;Close (25 ft. + 5 ft./2 levels);Target;One humanoid;1 day/level;Will negates;Controls humanoid telepathically.
Doom Scarabs;Conj;;4;1 standard action;60 ft.;Area;Cone-shaped burst;Instantaneous;Will half;Scarab swarm deals 1d6/2 levels, gives you temporary hit points.
Draconic Might;Tran;;5;1 standard action;Touch;Target;Living creature touched;1 min./level (D);Fortitude negates (harmless);Gain +5 to Str, Con, Cha
Draconic Polymorph;Tran;;5;1 standard action;Personal;Target;You;1 min./level (D);;As polymorph, except average Str + 8 and average Con + 2 and Max 20 HD.
Dragon Ally;Conj;;7;10 minutes;Close (25 ft. + 5 ft./2 levels);Effect;One called dragon of 18 HD or less;Instantaneous;None;As dragon ally, lesser, but up to 18 HD.
Dragon Breath;Evoc;Varies;4;1 standard action;Personal;Target;You;1 round/level;;You choose a dragon type and mimic its breath weapon.
Dragonsight;Tran;;5;1 standard action;Personal;Target;You;1 hour/level (D);;Gain low-light vision, darkvision, and blindsense.
Dragonskin;Tran;;3;1 standard action;Personal;Target;You;10 min./level;;You gain +3 to +5 natural armor bonus and Energy Resistance 10 to 20.
Dread Word;Evoc;Evil;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature of good alignment;Instantaneous;Fortitude negates;1d3 Cha drain on one target.
Dream;Illu;Mind-Affecting;5;1 minute;Unlimited;Target;One living creature touched;See text;None;Sends message to anyone sleeping.
Drug Resistance;Ench;;1;1 standard action;Touch;Target;One living creature;1 hour/level;Fortitude negates (harmless);Subject is immune to addiction.
Duelward;Abj;;5;1 standard action;Personal;Target;You;1 round/level or until discharged (D);;You can counterspell as an immediate action with a +4 bonus to Spellcraft.
Dust Storm;Conj;;3;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Sand storm cylinder 60-feet across and 30 ft. high;1 round/level;None;Create a blinding storm that deals 1d6 damage per round.
Dweomer of Transference;Evoc;;4;1 minute;Close (25 ft. + 5 ft./2 levels);Target;One willing psionic creature;1 round/level;Will negates (harmless);Convert spellcasting into psionic power points.
Eagle's Splendor;Tran;;2;1 standard action;Touch;Target;Creature touched;1 min./level;Will negates (harmless);Subject gains +4 to Cha for 1 min./level.
Early Twilight;Evoc;Darkness;4;1 round;Long (400 ft. + 40 ft./level);Area;80-ft.-radius cylinder, 40 ft. high;10 min./level (D);None;Reduce light in 80-ft.-radius cylinder.
Earth Glide;Tran;;8;1 standard action;Touch;Target;Creature touched;1 min./level;Will negates (harmless);Grants the ability to move through earth and stone like an earth elemental
Earth Lock;Abj;Earth;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One 1-foot length of tunnel with a diameter of up to 10 feet;Permanent;None;Constricts tunnel, preventing access.
Earth Reaver;Tran;Fire;5;1 standard action;Medium (100 ft. + 10 ft./level);Area;20-ft.-radius spread;Instantaneous;None;Eruption deals 4d6 impact damage and 3d6 fire damage to all in area.
Earthbind;Tran;;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;1 min./level (D);Fortitude negates;Subject creature can't fly.
Earthen Grace;Abj;Earth;3;1 standard action;Touch;Target;Living creature touched;1 min./level;Will negates (harmless);Stone and rock damage sources deal nonlethal damage instead of lethal damage.
Earthen Grasp;Tran;Earth;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Animated earthen arm;2 rounds/level;None;Dense hand grapples creatures and pins them.
Ebon Eyes;Tran;;1;1 standard action;Touch;Target;Creature touched;10 min./level;None;Subject can see through magical darkness.
Ebon Ray of Doom;Necr;;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;1 round/level;Fortitude partial;Black energy prevents magical healing and special healing abilities from functioning.
Ectoplasmic Armor;Abj;Ectomancy;1;1 standard action;Touch;Target;Creature touched;1 hour/level (D);Will negates (harmless);Gain +5 to +9 armor bonus against incorporeal touch attacks.
Ectoplasmic Enhancement;Necr;Ectomancy, Evil;6;1 round;Close (25 ft. + 5 ft./2 levels);Target;One incorporeal undead/level;1 day;None;Incorporeal undead gain +1 AC, +1d8 hp, +1 on attacks, +2 turn resistance for every 3 levels.
Ectoplasmic Feedback;Abj;Ectomancy;2;1 standard action;Personal;Target;You;1 min./level (D);None;Incorporeal attackers take 1d6 damage.
Effulgent Epuration;Abj;;9;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;One magic-absorbing sphere per caster level.;1 round/level;Will negates (harmless);Creates one sphere/level to negate hostile magic.
Eladrin Form;Tran;Good;7;1 standard action;Personal;Target;You;1 round/level (D);;You become an incorporeal globe.
Elation;Ench;Mind-Affecting;3;1 standard action;80 ft.;Targets;Allies in an 80-ft.-radius spread of you;1 round/level;Will negates (harmless);Allies gain +2 to Strength and Dexterity, +5 ft. of speed.
Electric Jolt;Evoc;Electricity;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;Instantaneous;None;Ray deals 1d3 electricity damage.
Electric Slap;Tran;Electricity;0;1 standard action;Touch;Target;Creature touched;Instantaneous;None;Touch attack deals 1d6 electricity damage.
Electric Spark;Tran;Electricity;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Spark of electricity;Instantaneous;None;Ray deals 1d3 electricity damage.
Electrical Deluge;Evoc;Electricity;6;1 standard action;Medium (100 ft. + 10 ft./level);Area;A spread centered on you, 5 ft. high and 200ft. across;Instantaneous;Reflex half;See Text
Elemental Body;Tran;Varies;7;1 standard action;Personal;Target;You;1 hour/level;;You take on the qualities of a type of elemental.
Elemental Familiar;Tran;;3;10 minutes;Touch;Target;Living creature touched;Instantaneous;Fortitude negates (harmless);Transmutes your familiar into an elemental.
Elemental Shroud;Necr;Acid, Cold, Electricity, Fire, Sonic;5;1 standard action;Medium (100 ft. + 10 ft./level);Target;Up to one animate dead creature/level;Instantaneous;None;Grant undead creatures armor and turn bonuses and deal elemental damage upon being struck by a foe or striking a foe.
Elf Disguise;Illu;;1;1 standard action;Personal;Target;You;1 hour/level (D);;As disguise self, except no body changes and only to an Elf type.
Emerald Burst;Evoc;Good;5;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;20-ft.-radius burst;Instantaneous;Fortitude negates;20-ft.-radius burst dazes neutral creatures for 1 round, stuns evil creatures for 1d4 rounds.
Emerald Planes;Evoc;Force;2;1 standard action;Medium (100 ft. + 10 ft./level);Effect;One 5-foot square force plane/2 levels;1 min./level;None;Creates up to five 5-foot squares that hold 100 lb./level.
Enchanting Flavor;Tran;;0;1 round;Touch;Target;One meal;Instantaneous;None;A meal tastes wonderful and you gain a one-time Charisma-based check bonus.
Endure Elements;Abj;;1;1 standard action;Touch;Target;Creature touched;1 day;Will negates (harmless);Exist comfortably in hot or cold environments.
Enduring Flight;Tran;;4;1 round;Personal;Target;You;See text;;Carry medium loads at full fly speed
Energize Potion;Tran;;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;10-ft.-radius burst;Instantaneous;Reflex half;Transforms potion into a grenade that deals energy damage in a 10-ft.-radius burst.
Energy Aegis;Abj;;3;1 immediate action;Close (25 ft. + 5 ft./2 levels);Target;One creature;1 round;Will negates (harmless);Subject gains resistance 20 against one energy type for one attack.
Energy Buffer;Abj;;5;1 standard action;Touch;Target;You;1 day or until discharged;;Absorbs 1d6/level points of damage (maximum 15d6) from one kind of energy.
Energy Ebb;Necr;Negative, Evil;7;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray of negative energy;1 round/level;Fortitude negates;Give subject one negative level/round for 1 round/level.
Energy Immunity;Abj;;7;1 standard action;Touch;Target;Creature touched;1 day;None;Subject is immune to damage from one kind of energy.
Energy Surge;Tran;see text;3;1 swift action;Close (25 ft. + 5 ft./2 levels);Target;One weapon;1 round;Will negates (harmless);As lesser energy surge, but 2d6 damage.
Energy Transformation Field;Tran;;7;4 rounds;Close (25 ft. + 5 ft./2 levels);Area;40-ft.-radius spread;Permanent;None;Area absorbs magic energy to power a predetermined spell.
Enervating Breath;Necr;Negative;9;1 swift action;Personal;Target;Your breath weapon;1 round;;Your breath weapon also bestows 2d4 negative levels.
Enervation;Necr;Negative;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray of negative energy;Instantaneous;None;Subject gains 1d4 negative levels.
Enhance Familiar;Univ;;3;1 standard action;Touch;Target;Your familiar;1 hour/level;None (harmless);Your familiar gains a +2 modifier on saves, combat rolls, and AC for 1 hour/level.
Enhance Magical Flow;Univ;;2;1 standard action;Personal;Target;You;10 min./level;None (harmless);Gain a +1 enhancement bonus to spell DCs.
Enlarge Person;Tran;;1;1 round;Close (25 ft. + 5 ft./2 levels);Target;One humanoid creature;1 min./level (D);Fortitude negates;Humanoid creature doubles in size.
Enlarge Weapon;Tran;;2;1 standard action;Touch;Target;One touched melee weapon;1 round/level;Will negates (harmless, object);Your weapon grows one size category.
Ensnarement;Abj;;6;10 minutes;Touch;Area;10-ft.-radius circle;Instantaneous;;Augment the effectiveness of a magic circle prior to casting planar binding.
Entangling Staff;Tran;;4;1 swift action;Touch;Target;Quarterstaff touched;1 round/level (D);None (Object);Swift. Quarterstaff gains improved grab and can constrict grappled foes.
Entice Gift;Ench;Mind-Affecting;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;1 round;Will negates;Subject gives caster what its holding.
Eradicate Earth;Abj;Earth;3;1 standard action;40 ft.;Area;40-ft.-radius burst, centered on you.;Instantaneous;Fortitude half;Deals 1d8 points of damage/level to earth creatures (max 10d8).
Erase;Tran;;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One scroll or two pages;Instantaneous;See text;Mundane or magical writing vanishes.
Ethereal Breath;Tran;;5;1 swift action;Personal;Target;Your breath weapon;1 round;;Your breath weapon manifests on the Ethereal Plane.
Ethereal Chamber;Evoc;Force;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One ethereal creature;1 min./level;Reflex negates;Crystalline force chamber is incapable of planar travel away from the Ethereal Plane and normal movement.
Ethereal Jaunt;Tran;;7;1 standard action;Personal;Target;You;1 round/level (D);;You become ethereal for 1 round/level.
Ethereal Mount;Conj;;4;10 minutes;0 ft.;Effect;One quasi-real mount, plus one additional mount/2 levels;1 hour/level (D);None;Creates ethereal mounts.
Evacuation Rune;Conj;;5;1 standard action;Touch;Effect;One invisible rune;1 day;None (harmless);Create invisible rune that you can teleport to as swift action.
Exaction;Ench;Mind-Affecting;7;1 minute;Close (25 ft. + 5 ft./2 levels);Target;One elemental or outsider caught in a planar binding;Instantaneous;None;Make a sacrifice to gain bonuses when trying to compel service from a creature in a planar binding.
Excavate;Tran;;8;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;One 5-ft.-by-8-ft. opening, 1 ft./level deep;Instantaneous;None;Creates a permanent passage in earth and walls.
Expeditious Retreat;Tran;;1;1 standard action;Personal;Target;You;1 min./level (D);;Your speed increases by 30 ft.
Explosive Cascade;Evoc;Fire;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;One 5-ft.-square/level, all of which must be connected in one continuous path (S);Instantaneous;Reflex half;Bouncing flame ball deals 1d6/level fire damage.
Explosive Runes;Abj;Force;3;1 standard action;Touch;Target;One touched object weighing no more than 10 lb.;Permanent until discharged (D);See text;Deals 6d6 damage when read.
Expose The Dead;Div;;2;1 standard action;Personal;Target;You;1 min./level (D);;Gain insight bonuses to locate undead or when investigating a corpse.
Extend Shifting;Tran;;1;1 swift action;Personal;Target;You;Instantaneous;;Extend duration of shifting ability by 4 rounds.
Extend Tentacles;Tran;;2;1 standard action;Personal;Target;You;1 round/level;;+5 ft. to reach of tentacle attack
Extract Drug;Conj;;1;1 minute;Touch;Effect;One dose of a drug;Permanent;;Creates drug from inanimate object.
Extract Water Elemental;Tran;Water;6;1 standard action;5 ft./level;Target;One living creature;Instantaneous;Fortitude half;Pulls water from victim, forms water elemental.
Eye of Power;Div;;9;10 minutes;Unlimited;Effect;Magical sensor;1 min./level (D);None;As arcane eye, but you can cast spells of 3rd level or lower through it.
Eye of Stone;Div;;6;1 standard action;Personal;Target;You;1 round/level (D);;Invisible floating eye moves 30 ft./round, can pass through stone.
Eye of the Beholder;Tran;Evil;7;1 standard action;Personal;Target;You;1 round/level;;Your eye gains random beholder ray.
Eyes of the Avoral;Tran;;1;1 standard action;Touch;Target;One creature;10 min./level;Will negates (harmless);Subject gians +8 racial bonus on Spot checks.
Eyes of the Zombie;Div;Evil;3;30 minutes;Personal;Effect;You and one zombie;1 hour/level (D);None;You see through a zombie's eyes.
False Gravity;Tran;;3;1 standard action;Touch;Target;Creature touched;1 min./level;Will negates (harmless);Travel on a solid surface as if that surface had its own gravity.
False Vigor;Illu;;1;1 standard action;Touch;Target;Creature touched;1 min./level or until discharged;Will negates (harmless);Subject gains 1 temporary hitpoint and +1 morale bonus to attack until he attacks or is damaged.
False Vision;Illu;;5;1 standard action;Touch;Area;40-ft.-radius emanation;1 hour/level (D);None;Fools scrying with an illusion.
Familiar Pocket;Univ;;1;1 standard action;Touch;Target;One container or garment with a pocket;1 hour/level (D);None;Creates an extradimensional hiding place for your familiar.
Fatal Flame;Evoc;Fire;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature with 1 or more HD;1 min./level;See text;Target's body bursts into flame upon its death.
Favorable Wind;Evoc;Air;3;1 standard action;60 ft.;Area;Cone-shaped emanation;10 min./level (D);Fortitude negates;Produces a strong wind that lasts 10 min./level.
Fearsome Grapple;Tran;;2;1 standard action;Personal;Target;You;1 round/level;;You gain 2 additional arms that only improve your grapple checks.
Feather Fall;Tran;;1;1 immediate action;Close (25 ft. + 5 ft./2 levels);Targets;One Medium or smaller freefalling object or creature/level, no two of which may be more than 20 ft. apart;Until landing or 1 round/level;Will negates (harmless) or Will negates (object);Objects or creatures fall slowly.
Feign Death;Necr;;3;1 standard action;Touch;Target;One willing, living creature whose level or Hit Dice do not exceed the caster's;1 hour/level (D);None;Makes one willing, living creature appear dead.
Fengut;Illu;Mind-Affecting;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature;1d4+1 rounds;Fortitude negates;Subject is nauseated.
Fey Ring;Conj;see text;7;10 minutes;Close (25 ft. + 5 ft./2 levels);Effect;One called Medium or smaller fey;See text;See text;Call a Fey creature that may or may not help you.
Fiendform;Tran;Evil;5;1 standard action;Personal;Target;You;1 min./level;;As Alter Self, except you can gain the form and powers of an evil outsider.
Fiendish Clarity;Div;Evil;7;1 standard action;Personal;Target;You;10 min./level;;You see in even magical darkness, see invisible up to 60 feet, and can detect good.
Fiendish Quickening;Tran;;6;1 round;Personal;Target;You;1 round/level;;Your ability to teleport is quickened.
Fierce Pride of the Beastlands;Conj;Good, Chaotic;8;10 minutes;Medium (100 ft. + 10 ft./level);Effect;Two or more summoned creatures, no two of which can be more than 30 ft. apart;10 min./level (D);None;Summon celestial lions and celestial dire lions to follow you
Filter;Abj;;2;1 standard action;Touch;Target;Creature touched;10 min./level;Will negates (harmless);Makes subject resistant to inhaled toxins.
Finger of Death;Necr;Death;7;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature;Instantaneous;Fortitude partial;Kills one subject.
Fins to Feet;Tran;;2;1 standard action;Touch;Target;Willing creature touched;1 hour/level;Fortitude negates (harmless);Transforms tails and fins into legs and feet.
Fire Flash;Evoc;Fire;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Flame in your palm;Instantaneous;None;Energy missile deals 1d3 fire damage.
Fire Hand;Evoc;Fire;0;1 standard action;Touch;Target;Creature touched;Instantaneous;None;Touch attack deals 1d6 fire damage.
Fire Shield;Evoc;Cold, Fire;4;1 standard action;Personal;Target;You;1 round/level (D);;Creatures attacking you take fire damage
Fire Spiders;Conj;Fire;6;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Fiery spiders that cover a 10-ft.-radius spread;1 round/level;Reflex half;Swarm of Fine fire elementals attacks targets.
Fire Stride;Tran;;4;1 standard action;Personal;Target;You;10 min./level or until expended;;Multiple-use dimension door that works only through large fires.
Fireball;Evoc;Fire;3;1 standard action;Long (400 ft. + 40 ft./level);Area;20-ft.-radius spread;Instantaneous;Reflex half;1d6 damage per level, 20-ft. radius.
Firebrand;Evoc;Fire;5;1 standard action;Medium (100 ft. + 10 ft./level);Area;One 5-ft.-radius burst/level (S);Instantaneous;Reflex half;One 5-ft. burst/level deals 1d6 fire/level plus burning for 1 round.
Fireburst;Evoc;Fire;2;1 standard action;10 ft.;Effect;Burst of fire extending 10 ft. from you;Instantaneous;Reflex half;Adjacent subjects take 1d8/level fire damage.
Fist of Stone;Tran;Earth;1;1 standard action;Personal;Target;You;1 min.;;Your fist gains +6 enhancement bonus to strength for attacks, grapples, breaking, or crushing things.  You gain a slam attack.
Flame Arrow;Tran;Fire;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;Fifty projectiles, all of which must be in contact with each other at the time of casting;10 min./level;None;Arrows deal +1d6 fire damage.
Flame Dagger;Evoc;Fire;2;1 standard action;0 ft.;Effect;A daggerlike beam;1 min./level (D);None;As flame blade, but 1d4 +1/level.
Flaming Corrosion;Evoc;Acid, Fire;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;Cone;Instantaneous;Reflex half;See Text
Flaming Sphere;Evoc;Fire;2;1 standard action;Medium (100 ft. + 10 ft./level);Effect;5-ft.-diameter sphere;1 round/level;Reflex negates;Creates rolling ball of fire, 2d6 damage, lasts 1 round/level.
Flare;Evoc;Light;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Burst of light;Instantaneous;Fortitude negates;Dazzles one creature (-1 on attack rolls).
Flaywind Burst;Evoc;Air, Earth;5;1 round;60 ft.;Area;Cone-shaped burst;Instantaneous;See text;Cone blows away and knocks down smaller creatures and deals 1d6 damage/level.
Fleeting Fame;Illu;;0;1 standard action;Personal;Target;You;1 round/level;;Gives you a +2 bonus on Bluff, Diplomacy, and Intimidate checks.
Flensing;Tran;Evil;8;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One corporeal creature;4 rounds;Fortitude partial;Trauma deals 2d6 damage plus 1d6 Cha and Con damage.
Flesh to Ice;Tran;;5;1 standard action;Medium (100 ft. + 10 ft./level);Target;One creature;Instantaneous;Fortitude negates;Turns subject into statue of ice.
Flesh to Stone;Tran;;6;1 standard action;Medium (100 ft. + 10 ft./level);Target;One creature;Instantaneous;Fortitude negates;Turns subject creature into statue.
Flight of the Dragon;Tran;;4;1 standard action;Personal;Target;You;10 min./level (D);;You grow dragon wings.
Float;Tran;;1;1 standard action;Long (400 ft. + 40 ft./level);Target;One Large or smaller creature or object;1 min./level;Fortitude negates;Subject becomes buoyant.
Float of Livre d'Aquatha;Tran;;1;1 standard action;Touch;Target;Willing creature or object touched;10 min./level (D);Will negates (harmless);Makes a willing creature or object buoyant.
Floating Disk;Evoc;Force;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;3-ft.-diameter disk of force;1 hour/level;None;Creates 3-ft.-diameter horizontal disk that holds 100 lb./level.
Fly;Tran;;3;1 standard action;Touch;Target;Creature touched;1 min./level;Will negates (harmless);Subject gains a fly speed of 60 ft.
Fog Cloud;Conj;;2;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Fog spreads in 20-ft. radius, 20 ft. high;10 min./level;None;Fog obscures vision.
Foil Tracer;Abj;;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;1 min./level;None;Subject cannot be tracked while teleporting.
Force Chest;Evoc;Force;4;1 standard action;0 ft.;Effect;Box of force 2 ft. on a side;1 day/level (D);None;Creates 2-foot-cube box of force.
Force Claw;Evoc;Force;4;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Invisible claw of force;1 round/level (D);None;Claw of force guards an area, making attacks of opportunity.
Force Hammer;Evoc;Force;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;Instantaneous;Fortitude partial;Ray of force deals 1d4/level points of nonlethal damage
Force Ladder;Evoc;Force;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;One ladder of force up to 60 ft. long;1 min./level;None;Creates a movable ladder of force.
Force Missiles;Evoc;Force;4;1 standard action;Medium (100 ft. + 10 ft./level);Targets;Up to four creatures, no two of which are more than 30 ft. apart;Instantaneous;None;Missiles of force strike foes for 2d6 each (max 4 missiles)
Forcecage;Evoc;Force;7;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;Barred cage (20-ft. cube) or windowless cell (10-ft. cube);2 hours/level (D);None;Cube or cage of force imprisons all inside.
Forceful Hand;Evoc;Force;6;1 standard action;Medium (100 ft. + 10 ft./level);Effect;10-ft. hand;1 round/level (D);None;Hand pushes creatures away.
Forcewave;Evoc;Force;4;1 swift action;10 ft.;Effect;10-ft. burst of force centered on you;Instantaneous;None;Bull rushes all creatures within 10 ft.
Foresight;Div;;9;1 standard action;Personal or touch;Target;See text;10 min./level;None or Will negates (harmless);Sixth sense warns of impending danger.
Fortify Familiar;Univ;;3;1 standard action;Touch;Target;Familiar touched;1 hour/level;None (harmless);Your familiar gains +2 natural armor and a 25% chance to avoid critical hits for 1 hour/level.
Fox's Cunning;Tran;;2;1 standard action;Touch;Target;Creature touched;1 min./level;Will negates (harmless);Subject gains +4 to Int for 1 min./level.
Freedom;Abj;;9;1 standard action;Close (25 ft. + 5 ft./2 levels) or see text;Target;One creature;Instantaneous;Will negates (harmless);Releases creature from imprisonment.
Freezing Claw;Conj;Cold;6;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;A small claw of ice;1 round/level;Fortitude partial;Flying hand deals cold damage and freezes targets.
Freezing Fog;Conj;Cold;6;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Fog spreads in 20-ft. radius, 20 ft. high;1 min./level;Reflex partial;Freezing fog deals 1d6 cold damage each round, and creatures must make a Reflex save or fall.  Ballance  DC 10 to move.  Max speed 5.
Friendly Face;Illu;;1;1 standard action;Personal;Target;You;10 min./level (D);;Gain +5 bonus on Diplomacy and Gather Information checks.
Frost Breath;Evoc;Cold;2;1 standard action;30 ft.;Area;Cone-shaped burst;Instantaneous;Reflex half;Icy breath deals 1d4 damage/2 levels.
Frost Fingers;Evoc;Cold;1;1 standard action;15 ft.;Area;Cone-shaped burst;Instantaneous;Reflex half;Area attack deals 1d4/level (max 5d4) cold damage.  Liquids in containers freeze.
Frost Touch;Evoc;Cold;0;1 standard action;Touch;Target;Creature touched;Instantaneous;None;Touch attack deals 1d6 cold damage.
Frost Weapon;Tran;;2;1 standard action;Touch;Area;Weapon touched;1 round/level;Will negates (harmless, object);Weapon gains frost special ability, +1d6 cold damage.
Furnace Within;Evoc;Fire;2;1 standard action;10 ft.;Area;10-ft.-radius burst, centered on you;Instantaneous;Reflex half;Flame bursts from your body, deals 1d8/2 level (max 5d8) fire damage in 10-ft. radius.
Fuse Arms;Tran;;2;1 standard action;Touch;Target;Creature with at least 4 arms or tentacles touched;10 min./level;Fortitude negates (harmless);Multiple arms/tentacles become one pair of stronger limbs.
Fuse Sand;Tran;Earth;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;Up to two 10-ft. cubes per level(S);Instantaneous;See text;Hardens sand and may trap creatures.
Gaseous Form;Tran;;3;1 standard action;Touch;Target;Willing corporeal creature touched;2 min./level (D);None;Subject becomes insubstantial and can fly slowly.
Gaze Screen;Abj;;2;1 standard action;Touch;Target;Living creature touched;10 min./level;Will negates (harmless);Subject has a 50% chance to avoid gaze attacks.
Geas Lesser;Ench;Language-Dependent, Mind-Affecting;4;1 round;Close (25 ft. + 5 ft./2 levels);Target;One living creature with 7 HD or less;1 day/level or until discharged (D);Will negates;Commands subject of 7 HD or less.
Geas/Quest;Ench;Mind-Affecting, Language-Dependent;6;10 minutes;Close (25 ft. + 5 ft./2 levels);Target;One living creature;1 day/level or until discharged (D);None;As geas, lesser, plus it affects any creature.
Gelid Blood;Necr;Cold;5;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;1 round/level;Fortitude partial;Subject takes –4 penalty on attacks, AC, and Str- and Dex-related checks, 50% failure of spells with somatic components.
Gentle Repose;Necr;;3;1 standard action;Touch;Target;Corpse touched;1 day/level;Will negates (object);Preserves one corpse.
